"","x"
"ZFY",9.12661187736631
"EIF1AY",9.03317235483292
"DDX3Y",9.01847882763534
"KDM5D",8.98510819469807
"TXLNGY",8.87829465620401
"RPS4Y1",8.82822795362583
"UTY",8.78040299908683
"USP9Y",8.73556189188431
"PRKY",7.85832161070587
"NLGN4Y",7.82005018207857
"NOS2",1.96247210749099
"BTNL9",1.91348708653979
"TMEM178B",1.72715301137944
"B4GALNT2",1.69104776577154
"CLDN10",1.67941910599144
"FDCSP",1.67191567539962
"MYO3A",1.6077997139053
"ABCA3",1.52890609755793
"FAM3B",1.52640962472156
"PKDCC",1.51526235083721
"GDF15",1.50837588120318
"COL4A4",1.4523821301474
"DMBT1",1.43310106901583
"MGAT3",1.43302546688611
"COLCA1",1.42328653035571
"ADCY5",1.42115353083794
"UPK1B",1.34393311719001
"DMRTA2",1.34293641562993
"NTS",1.33142638949133
"SCUBE3",1.32780339884326
"SIM2",1.31789453005067
"PLAC8",1.31388857072223
"FREM2",1.28854129753006
"TFPI2",1.28716161826497
"STAG3",1.24739891328716
"IGLV9-49",1.23599574755043
"MIR9-3HG",1.23561746632716
"B3GALT5",1.23539853882812
"FOXA1",1.23005959557411
"MAP7D2",1.22645198774592
"ALDH1L1",1.21141996285825
"CES1",1.20534581089199
"RNF150",1.19629592411869
"CEL",1.17191613762625
"TCIM",1.16364557650471
"ARK2C",1.15084204207561
"OGDHL",1.14099675743016
"MEGF10",1.1066704052472
"GALNT5",1.10400488093734
"ZYG11A",1.0901615264307
"ADAM22",1.08858645231221
"LEMD1",1.08655427239011
"GSTA1",1.07673602908394
"RHPN1",1.07430514189944
"LRRN1",1.06421333111482
"PYGM",1.0593110172621
"ARNT2",1.05912570873875
"SLC7A2",1.05008510209265
"WNK2",1.04782567686442
"CCL20",1.04552250202534
"CCDC74A",1.03673392860028
"FXYD6",1.01412646948186
"SLC27A5",1.00976430210344
"TJP3",0.990769980764094
"MYB",0.99019707975981
"NT5M",0.989369912498869
"COL9A2",0.984897135265639
"LINC00885",0.973564655971718
"GABRP",0.959088360014192
"BEX2",0.957577688689578
"UNC45B",0.957028843781907
"STAR",0.956197536896358
"CYP2E1",0.95011897970075
"MSI1",0.938244806016068
"SYNGR3",0.930654112166624
"CAPS",0.919883120160961
"IGHV3-43",0.917209430568793
"ISYNA1",0.914729679499614
"TNNC2",0.912055843649354
"ICAM5",0.909555615139486
"MUC4",0.909114407137513
"IL1R2",0.905193927299453
"HLF",0.904987657332096
"CHGB",0.904488885573648
"DACT2",0.902100608444519
"COL23A1",0.894662124150658
"COL21A1",0.89033704588045
"LINC00839",0.888304656514554
"SYCP2",0.883338962053857
"HAGHL",0.882902377146292
"EYA2",0.882164747689802
"VCAM1",0.881449718471615
"CACNA1B",0.876469910013863
"EMID1",0.872120163638645
"SHISA2",0.863404884051016
"PLIN4",0.861131073666691
"SRL",0.8597058894763
"TRIM72",0.857230255746268
"CHDH",0.856291880591498
"SCIN",0.852159191627608
"ACHE",0.851278179473069
"ENPP5",0.851153092045616
"CP",0.848320189700011
"YBX2",0.843185946613659
"CYP2W1",0.837282088673059
"AJM1",0.835083088883806
"ENTREP1",0.834505431770196
"CAPN14",0.833624590372101
"OR2I1P",0.829655972773942
"AR",0.828558518472521
"SCN9A",0.825961147018493
"FOXJ1",0.824801308380819
"ASPHD1",0.823824494731481
"IGSF9B",0.823686435971073
"MYL11",0.820960953448942
"CYP4X1",0.815396151042957
"ADRA2C",0.813252207803673
"DNAH11",0.810552048454597
"EEF1A2",0.807152101571614
"PEG10",0.805328461788454
"ZDHHC11B",0.804820167239514
"CLCA4",0.799264801925451
"HUNK",0.798061144725949
"HES6",0.796552621092716
"LOXL4",0.794138624629508
"RAB3B",0.792742748255375
"KRT19",0.78792495880267
"KRT24",0.786180520856732
"TLE2",0.783157592270431
"PARM1",0.781288747201482
"ROBO2",0.779193211602809
"CCNA1",0.778983456145095
"ERO1B",0.774901282612221
"KREMEN2",0.773427988876487
"SLFN13",0.7730204453368
"LGI3",0.769544665245165
"UPK3B",0.768815686732879
"RAB42",0.768211344897085
"MUC21",0.764251209523105
"PKIA",0.763936227654831
"TCAP",0.761335090441404
"NAALADL2",0.761125860772774
"TMPRSS2",0.759382306097698
"TSPOAP1",0.759134971529216
"EPHX3",0.754625190719347
"OLFM1",0.753565931484652
"PDLIM3",0.753508297315009
"EPIST",0.750902491683093
"EDN2",0.749281357057561
"ACTA1",0.746849564927228
"TNNI1",0.745992738621331
"RPH3AL",0.742731824975281
"PHGDH",0.741399790613856
"HSPA6",0.737649243339964
"HEY1",0.736052770894698
"SERPINI1",0.735788427611112
"MPP2",0.735119757935351
"SV2A",0.73486887923937
"CPNE7",0.732576982346769
"RNF212",0.72791333819852
"CXCL8",0.724852512875968
"GPR143",0.72455579831848
"LAMA1",0.724267893098926
"SLC12A7",0.721650225091912
"H1-2",0.720313896117133
"TMEM38A",0.718416625531519
"TNNI2",0.717960318755159
"ANKRD1",0.713757663520365
"MUC20",0.713069590552673
"NPTXR",0.712591780805893
"LINC00342",0.712505303471195
"GLI1",0.712222127940696
"PHYHD1",0.711685508589878
"FGF2",0.711669352989986
"GPC3",0.711006207546124
"MYBPC1",0.710251071241702
"TMC5",0.708300537475657
"HLA-G",0.706523895744178
"MEX3A",0.705643877551964
"IGHM",0.705639671085236
"RAMP1",0.70453757750712
"ETNK2",0.703533422117004
"BCL2",0.702360377210258
"GLB1L2",0.701749797471948
"CDKN2C",0.699562486506169
"LINC01139",0.698658383583876
"MAMDC4",0.692437473444831
"PODXL2",0.690045183595537
"MYH1",0.687727938944427
"DDN",0.684848207161204
"MMP11",0.684127107815805
"PTN",0.682343764369228
"SNCG",0.682070000523251
"MAP1LC3A",0.679388197362601
"IGLV8-61",0.676387440658056
"ATP2A1",0.67491561552179
"MEI1",0.673960918668521
"PAX6",0.672483548746276
"MAPT",0.671677818495964
"EPHB1",0.671305139376388
"AFF2",0.669277639251343
"SPIRE2",0.668870921796642
"PPARGC1A",0.667367137169247
"SELENBP1",0.66623452212288
"MECOM",0.665748446448277
"SEPTIN3",0.664795851394748
"IGSF10",0.664296498921696
"SVIP",0.663697557315288
"ATOH8",0.659489643339169
"FAM222A",0.658936301615326
"ALDH3A1",0.656887709074093
"ZDHHC23",0.656689569178263
"DOC2B",0.654388754313163
"LGI2",0.653983674178056
"MYH2",0.653600273853792
"TMEM150C",0.652599451242239
"KCNS1",0.65153910267137
"ETV1",0.651538751900854
"RNF32-DT",0.651451059924265
"EBF4",0.651449431500596
"CAMK2B",0.646941035134542
"ZNF300",0.646784603637097
"PCLO",0.646433745819575
"APLP1",0.646201554706622
"IGLV2-8",0.646086536926783
"CASTOR3P",0.644885987513586
"ST8SIA2",0.641809541265803
"PLA2G2D",0.639144825914184
"GCSAM",0.639136586492152
"MISP3",0.637127099433741
"SYT17",0.636218080235995
"SLC25A4",0.635362775482322
"BRME1",0.635043804576382
"STAC",0.634551950520054
"TFR2",0.63264584704179
"AMOT",0.631431156033963
"CHPT1",0.63116021314654
"BAALC",0.627697089907145
"PIMREG",0.6276683885503
"CAND2",0.627467564205944
"KCNG1",0.625978184162703
"ITPKA",0.624787909033793
"RGS9",0.623135149918091
"LYPD6",0.621653138000458
"DANCR",0.62115383581172
"EFCAB2",0.621117334734487
"RIBC2",0.620788997343379
"NKD2",0.620324187628212
"PLLP",0.619969434715244
"SYNDIG1",0.618707377697591
"CTXN1",0.617711255667238
"CACNA2D3",0.616917761554115
"SLN",0.616420684143609
"ADAMTS17",0.61630038664414
"SOX21",0.616161895751225
"NCAM1",0.615478105527854
"SRPK3",0.615411618693687
"VTCN1",0.613390753328738
"PAX8-AS1",0.612386087984001
"MCF2L",0.609573286557335
"SLC1A1",0.607703241116667
"PABPC1L",0.606453438110793
"ACACB",0.604727729488251
"HSPA7",0.601501477978685
"MYH3",0.601304715368514
"NPR3",0.600711834193073
"CDKN1C",0.600428082223301
"RIPOR3",0.600188541697816
"NPBWR1",0.599789600044474
"CDH23",0.597105125947024
"CCDC106",0.5956025513316
"CPE",0.595364600477103
"COX7A1",0.595263977010729
"CASQ2",0.594881067366851
"MPDU1-AS1",0.594752266539146
"CCDC28B",0.593751385130859
"CLIP3",0.591612083137595
"CYP27A1",0.591152744615372
"PDE9A",0.591135103680534
"ABAT",0.588580891630205
"VSTM2L",0.588419810497195
"MYH7",0.586962289163333
"RGMA",0.586265800699882
"MYH11",0.584624833469641
"RYR3",0.583437450696488
"HAP1",0.58326443944062
"GGT7",0.58266817101439
"CHCHD10",0.581961531680175
"SERPINF1",0.581563949904368
"PADI3",0.580622886829374
"APOBEC2",0.579105056371231
"ACSS1",0.5783208196708
"IL27RA",0.578304668689949
"NTN1",0.577769689973185
"RAB6B",0.577226678913736
"KRT15",0.577204107831773
"CLDN7",0.576572897975998
"ILDR1",0.576558445732983
"GLI2",0.576421016951921
"FZD8",0.57574193509818
"ZNF853",0.575286696603026
"MYBPC2",0.574509389731975
"H2BC11",0.573386304996526
"DDX12P",0.571907274787114
"ICA1",0.571416011311851
"LINC01615",0.571113626821089
