"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000727","GO:0000727","double-strand break repair via break-induced replication","9/1470","11/11957",0.818181818181818,6.65510204081633,7.02508397006452,2.73566297426496e-07,0.00139272602019829,0.00139272602019829,"MCM2/MCM3/MCM5/MCM6/MCM7/GINS2/CDC7/CDC45/GINS4",9
"GO:0031424","GO:0031424","keratinization","17/1470","44/11957",0.386363636363636,3.14268707482993,5.33089960599607,7.97398542425988e-06,0.0202977798974535,0.0202977798974535,"SFN/KRT6C/LCE3E/IVL/KRT2/KRT5/KRT6A/KRT6B/KRT16/SPRR1B/SPRR2B/SPRR2D/SPRR2E/SPRR2G/TMEM79/CNFN/LCE3D",17
"GO:0060271","GO:0060271","cilium assembly","59/1470","282/11957",0.209219858156028,1.70179717276982,4.46512591549363,2.39084173434719e-05,0.0405725842318718,0.0405725842318718,"ACTR2/LRRC23/CCNO/IFT27/RAB3IP/WDR90/ARL13B/CEP131/FLNA/ATMIN/CBY1/GAS8/B9D1/INTU/CCDC57/IFT81/KCNQ1/ARL3/MAP4/WRAP73/WDPCP/ATP6V1D/WDR44/AHI1/MKS1/IFT57/ODF2L/IFT80/WDR19/RP2/ATG3/IFT22/CFAP410/CCDC28B/TCTN1/TCTN2/FUZ/ARMC9/CEP70/B9D2/USP9X/RAB34/ENKD1/ARL6/FAM161A/IQCG/UNC119B/OFD1/CEP89/FBF1/RAB11A/DYNC2I2/HAP1/IFT20/IQCB1/CROCC/CCP110/IFT140/KIAA0753",59
"GO:0006310","GO:0006310","DNA recombination","57/1470","278/11957",0.205035971223022,1.66776537953311,4.21763948580611,5.93477694233421e-05,0.0755348735335586,0.0755348735335586,"ACTR2/POLQ/BRD8/TOPBP1/RMI2/EME1/FANCD2/ZFYVE26/SPIDR/SAMHD1/ASTE1/TFPT/PSMC3IP/H1-2/HMGB2/PRMT1/MCM2/MCM3/MCM5/MCM6/MCM7/MRNIP/GINS2/POLB/PARPBP/ZCWPW1/WRAP53/ZGRF1/HMCES/CCNB1IP1/RAD51C/RAG1/RBBP8/RPA3/FIGNL1/NABP1/BRCA1/TCF3/UNG/XRCC1/HROB/BRME1/ACTR5/CDC7/CDC45/RHNO1/SLF1/GINS4/MCM8/SANBR/KMT5C/ACTL6A/RUVBL1/TIMELESS/H1-10/EXO1/IL27RA",57
"GO:0045069","GO:0045069","regulation of viral genome replication","22/1470","76/11957",0.289473684210526,2.35458288578589,4.43518632002207,7.93902122346516e-05,0.0808351140973223,0.0808351140973223,"ADARB1/DDX3X/IFIT5/IFIT1/CXCL8/MX1/OAS1/OAS2/OAS3/TMEM39A/EIF2AK2/PROX1/ZC3HAV1/ZNFX1/RAD23A/BCL2/IFIH1/SLPI/TARBP2/RSAD2/APOBEC3B/ISG15",22
"GO:0090329","GO:0090329","regulation of DNA-templated DNA replication","15/1470","43/11957",0.348837209302326,2.8374466065496,4.51903957313316,0.000108183741742994,0.0917939048689306,0.0917939048689306,"CDK2/POLG2/MCM2/MCM3/MCM5/MCM6/MCM7/RFC4/RFC5/METTL4/DSCC1/E2F8/DBF4B/CDC7/TIMELESS",15
"GO:0006261","GO:0006261","DNA-templated DNA replication","35/1470","151/11957",0.231788079470199,1.88536739198991,4.09908188133631,0.000134224790333889,0.0976197725128328,0.0976197725128328,"CDK2/POLQ/TOPBP1/POLG2/EME1/LRWD1/SAMHD1/DONSON/LIG1/MCM2/MCM3/MCM5/MCM6/MCM7/GINS2/POLB/POLD1/PRIM2/WDR18/RBBP8/RFC4/RFC5/METTL4/BRCA1/DSCC1/E2F8/DBF4B/CDC7/CDC45/GINS4/MCM8/TIMELESS/DNAJA3/EXO1/ZNF830",35
"GO:0044782","GO:0044782","cilium organization","59/1470","302/11957",0.195364238410596,1.58909537324864,3.88203039019841,0.000180606401979142,0.114933399059476,0.114933399059476,"ACTR2/LRRC23/CCNO/IFT27/RAB3IP/WDR90/ARL13B/CEP131/FLNA/ATMIN/CBY1/GAS8/B9D1/INTU/CCDC57/IFT81/KCNQ1/ARL3/MAP4/WRAP73/WDPCP/ATP6V1D/WDR44/AHI1/MKS1/IFT57/ODF2L/IFT80/WDR19/RP2/ATG3/IFT22/CFAP410/CCDC28B/TCTN1/TCTN2/FUZ/ARMC9/CEP70/B9D2/USP9X/RAB34/ENKD1/ARL6/FAM161A/IQCG/UNC119B/OFD1/CEP89/FBF1/RAB11A/DYNC2I2/HAP1/IFT20/IQCB1/CROCC/CCP110/IFT140/KIAA0753",59
"GO:0006260","GO:0006260","DNA replication","51/1470","255/11957",0.2,1.62680272108844,3.78788602640631,0.000269554901979533,0.121407610595121,0.121407610595121,"CHAF1A/CDK2/CDKN1B/POLQ/TOPBP1/POLG2/RMI2/EME1/LRWD1/SAMHD1/GLI1/TFPT/DONSON/LIG1/MCM2/MCM3/MCM5/MCM6/MCM7/NFIC/GINS2/POLB/POLD1/PRIM2/NT5M/WDR18/PTK6/RBBP4/RBBP8/RFC4/RFC5/RPA3/TSPYL2/METTL4/BRCA1/DSCC1/E2F8/ACTR5/JADE1/DBF4B/CDC7/CDC45/ING5/GINS4/MCM8/ACTL6A/RUVBL1/TIMELESS/DNAJA3/EXO1/ZNF830",51
"GO:0002082","GO:0002082","regulation of oxidative phosphorylation","9/1470","20/11957",0.45,3.66030612244898,4.45784538469187,0.000294987526605693,0.121407610595121,0.121407610595121,"PPIF/COX7A1/ABCD1/NUPR1/SHMT2/PINK1/VCP/SLC25A23/SLC25A33",9
