"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADA",1499.00625499905,-0.0123129207400271,0.114525094489562,-0.107512862529437,0.91438212164558,0.959447633367154
"CDH2",254.232845544585,-0.231908140197339,0.233136329157651,-0.994731885138835,0.319866682393222,0.544798573794097
"AKT3",1254.17923738594,0.424859401622771,0.129088782903958,3.29121858665959,0.000997543680594928,0.0156647373483494
"ZBTB11-AS1",205.134168789785,0.138314416891932,0.0868644828500834,1.59230116100092,0.111317052213209,0.292493480746139
"MED6",1043.36684715205,-0.0875408193737005,0.0643295366479489,-1.360818434816,0.17357107465425,0.382466698752978
"NINJ2-AS1",336.124113523275,0.147867779693843,0.116052324942959,1.2741474999878,0.202611147102664,0.419799816210035
"ACOT8",742.913816736194,0.0989225599890429,0.0584349459150613,1.69286645927307,0.0904808889218965,0.258336258183407
"ABI1",6033.13975652884,-0.0441248191580092,0.0676019295253736,-0.652715380578707,0.513939784998362,0.710403708636274
"GNPDA1",2565.45194925426,0.0171925105248837,0.0512693473302723,0.335337027291008,0.737370865314501,0.864528456950237
"KCNE3",249.073779496188,0.224318120724424,0.180497590780816,1.24277625952814,0.21395029318949,0.432434742230628
"ZBTB33",2312.81479031297,-0.0582465747653624,0.0653071389780944,-0.891886793339695,0.372453614092819,0.594145804901909
"SNHG8",1174.59040511573,0.185994183317295,0.096608948776696,1.92522727627651,0.0542009311196379,0.187417847455593
"GTF2IP4",258.192311302008,0.176324319317927,0.0816982802243185,2.15823783357244,0.0309093452900103,0.132364593735871
"CDH3",34024.5770529549,-0.320446159002546,0.125432763588387,-2.55472453795329,0.0106271862363954,0.0689600585499709
"TANK",1983.31975213677,0.0107194244032868,0.0505350608631671,0.212118561256146,0.832014539392269,0.916728114929201
"POM121C",2492.40498038199,0.0385727956906104,0.0624767192848184,0.617394705294383,0.536974413502507,0.729018108143313
"ZSCAN30",452.070803113369,0.206509822943659,0.0842692789196661,2.45059439918223,0.0142620560205627,0.0829922970797966
"SRA1",1940.64886737595,0.0374118789654153,0.0633516075174767,0.590543483132525,0.554826342496986,0.742507097821342
"TMEM170B",142.577251505213,0.0512709085998618,0.137786741107255,0.372103354704874,0.709815898705871,0.846642504426961
"FAM86JP",221.491789479694,0.244148023091901,0.101523638987653,2.40483916382858,0.0161795848451909,0.0892412390420497
"TMPO-AS1",192.311332261686,0.374764501092573,0.120926763433076,3.09910304760599,0.00194107494307493,0.0240356563392084
"OST4",3051.21793656334,0.101168016934096,0.0746743173906413,1.35478997959712,0.175484480056412,0.384859353316204
"ERCC6L2-AS1",137.905523032926,0.206552993279781,0.0943260469569554,2.18977684259407,0.0285404249857765,0.12605038096278
"VPS9D1-AS1",369.822603777257,-0.0596164369298439,0.151517978344009,-0.393461142904705,0.693978917925861,0.83593344134963
"ZBTB42",742.074900954315,0.108908980222761,0.0814635315654819,1.33690472448053,0.181253738482206,0.391961668022899
"KTN1-AS1",227.757923988768,-0.232086589214792,0.111197144132511,-2.0871632183127,0.0368733830804128,0.148339833122397
"ZSCAN16-AS1",166.407423162962,0.31522531281482,0.111861999027608,2.81798390476662,0.00483262322870751,0.0422099931580403
"LINC01160",167.695220293612,-0.239967278306733,0.262888630211537,-0.912809649141692,0.361342662597995,0.584452227246443
"SMIM10L1",1016.29219741328,0.178453590923355,0.0833792339259073,2.14026421832963,0.032333419947376,0.136191973367435
"GABPB1-AS1",435.79112073686,0.300495801442006,0.127846341800523,2.3504450515359,0.0187509759895525,0.0975629311136531
"ZNF37BP",321.58875755439,0.356379463385767,0.114076135322862,3.12404923586455,0.00178380605233634,0.0226991028786287
"LINC02035",713.296762573577,0.0717883844211246,0.0951778648750211,0.754255041499308,0.450696092735628,0.661090603068656
"MIR193BHG",360.726326792667,-0.0929541826895574,0.154761373333203,-0.600629089077843,0.548087058726339,0.737663780352975
"HDAC6",2015.30736421221,0.0157778915521142,0.0584294537497862,0.270033185996916,0.787134722890523,0.892938068426899
"CECR7",149.404931412657,0.200509536770833,0.19778792949243,1.01376022937996,0.310697176759575,0.536611023563567
"WAKMAR2",144.852517765058,-0.213633808058319,0.118646995522686,-1.80058337859445,0.0717685709138613,0.222819692589541
"RPS2P5",2280.44731934084,0.0895902066729155,0.109970669788313,0.814673647485927,0.41525914160309,0.632204324401346
"CICP14",149.946442500162,0.192347536944435,0.113120729096641,1.70037391449369,0.0890606152413206,0.255765299066352
"ZNF316",1836.26761108501,0.0234236888227675,0.0610098970208848,0.383932607110435,0.701028398027713,0.840841663759314
"ANKRD18EP",145.619540709901,-0.112984476265521,0.10029631074306,-1.12650680197964,0.259951063098443,0.484159008502208
"CKMT2-AS1",189.653632848409,0.201472917429655,0.0775486258269163,2.59802047143079,0.0093762903870332,0.0641421306857549
"TSTD1",925.652937603547,0.235511334454567,0.127774373435242,1.84318128997853,0.0653025457003346,0.210008307825937
"NEMP2",602.682442791224,0.406363748030442,0.0954281391644425,4.25832203780263,2.05967092188263e-05,0.00135459050481241
"ZNF503-AS2",274.218020803089,-0.23307032745193,0.102272015871356,-2.27892572045417,0.0226714811864044,0.108693838888987
"CCDC18-AS1",222.926251650104,-0.00466674245179919,0.103772749156301,-0.0449707894388558,0.964130592040724,0.983225218028788
"FAM83A-AS1",559.599161622264,-0.361901143934338,0.209385448911479,-1.72839681943389,0.0839171053343231,0.247073761813893
"ARMCX4",277.998134786776,0.1802131593882,0.113556479517156,1.58699142624419,0.112514586466698,0.294945471112053
"RPS18P5",235.955466951452,0.19640951842658,0.118178788109988,1.66196930572501,0.0965189290117262,0.269065112052419
"CALML3-AS1",592.313892472191,-0.165192672033283,0.126391401580811,-1.30699295970433,0.191215102549511,0.406076224210975
"CLUHP3",356.289789758592,0.158184009239034,0.105518351371458,1.49911372934719,0.133844130462778,0.326320292383559
"FRG1HP",166.382567281161,0.267858922514189,0.0837574801610647,3.19802985953135,0.00138369952127383,0.0192285022386223
"PAXIP1-AS2",181.803827519944,-0.00922560727253834,0.0836282227864269,-0.110316911745202,0.912158045490238,0.958556831683023
"MSC-AS1",349.647329361144,-0.22138144375282,0.157949706747438,-1.40159452215261,0.161036363706664,0.3650798791541
"ADIRF-AS1",413.190738908271,0.0698171821733531,0.12295184685976,0.567841670999765,0.570142481473812,0.752136095278836
"CD24",22151.2351188375,-0.430159381507831,0.149451493829124,-2.8782541444494,0.00399882842020321,0.0373589560917016
"MAP3K14-AS1",137.637901357287,0.383161698269907,0.108284386314043,3.53847596419555,0.000402443918484739,0.0091706131339104
"KDM7A-DT",982.087090507289,-0.379318660784347,0.124107222785219,-3.0563786077205,0.00224028174949946,0.026153025520299
"HDAC5",3473.29637928571,0.214743958562078,0.0660436809261721,3.25154436504126,0.00114779860728564,0.0169159947027859
"PDCD6IP",8235.38998841609,-0.333056813721155,0.0644898789851667,-5.16448191502671,2.41105785531538e-07,4.51139487434715e-05
"PDCD6",179.519222781758,-0.034900410115817,0.112881314528902,-0.309177920734445,0.757186188355566,0.876061576000504
"BCL2L10",192.46608452427,-0.0421670735770184,0.199071204624511,-0.211819050658553,0.832248205465256,0.916728114929201
"EPOP",613.890775493429,0.0941198614331218,0.111888397109794,0.841194117212743,0.400239195614862,0.619212497233428
"BCL2L11",1657.43195021338,0.101302879424847,0.0722728037511168,1.40167357798516,0.161012744174909,0.3650798791541
"SH2B3",1639.96995054066,0.0602555759754991,0.102608379644368,0.587238354063673,0.557043636684794,0.744352621345708
"TPT1-AS1",227.799882588635,0.141972880209698,0.082002068637729,1.73133291108679,0.0833924047715958,0.245974266738599
"GNE",1345.11462724209,0.37043757396664,0.124262244225649,2.98109515303747,0.00287219533736029,0.0307235908884574
"FRAT1",204.819246567456,0.128066005876345,0.100538228436307,1.27380408296609,0.202732857813611,0.419910510766109
"TMX2P1",157.913458467196,0.0988824575261684,0.0931069175887551,1.0620312656351,0.288221491615503,0.515068942172715
"PCED1B-AS1",187.689368768811,0.0506403330667362,0.155235979423879,0.32621518062163,0.744261556612243,0.869002880962704
"TROAP",1147.45315822508,0.36144614267786,0.0976407106751519,3.70179754099068,0.000214077414998645,0.00601272401322832
"MED16",2904.16876607457,0.0247970644486363,0.0558484084860611,0.44400664442972,0.657037780060053,0.810436352287056
"PIGK",1355.2991777526,0.0925346193107826,0.0559567890762946,1.65367993479068,0.0981925616576428,0.271881655194203
"MCPH1-DT",210.991944449373,0.231931088136096,0.100186546834239,2.31499233644446,0.0206133514741583,0.103339009182714
"WASHC1",209.695450322952,-0.137927097801118,0.10139338412503,-1.36031654324741,0.173729775476348,0.382562583657099
"LOXL1-AS1",261.66419163676,0.122873572886487,0.137593997529751,0.893015502801413,0.371848870653724,0.593680116168096
"RPL13AP25",205.769793736009,0.103964701321154,0.104708449671626,0.992896959578677,0.320760171627484,0.545620855322808
"LIPT2-AS1",211.765697255298,-0.103267083958363,0.100844473480668,-1.02402323492878,0.305824300506532,0.531532479839925
"TIMM23",3092.99837781006,-0.0505131619109107,0.0583838434257617,-0.865190760781979,0.386934095622265,0.607112254676011
"SLC9A3-AS1",776.620567970172,0.234027653852375,0.165108481298562,1.41741751854157,0.156360893768307,0.358889853785756
"ERVMER34-1",606.829153078748,0.103281229087426,0.148284326966369,0.696508061238668,0.486110710663332,0.690346172121214
"WASH8P",366.487423024298,-0.0302736997620089,0.110815602034402,-0.273189868630688,0.784707267538009,0.891392565134028
"B3GALT9",146.899635516536,-0.0695609685920976,0.0983765939399805,-0.707088605187294,0.479511416700432,0.685507543523172
"SLC25A25-AS1",208.043736599992,0.245728717822687,0.150992365776162,1.6274247811109,0.103646911936893,0.280838104238553
"FRG1CP",352.671907694349,0.514117281835703,0.123743707664121,4.15469433994314,3.25722672416155e-05,0.00178810979464819
