"","x"
"CHI3L1",6.83609927138385
"TNFRSF9",5.72681719594205
"ADAM28",5.50178459542143
"IL23R",5.45806286882032
"SPP1",5.03177287519247
"THEMIS",4.79581962832193
"CYP27A1",4.65379078806165
"SH2D1A",4.35301690850284
"IKZF1",4.31412255731952
"IKZF3",4.24136432412316
"CCL19",4.14436361327811
"ADAMDEC1",4.07656325625908
"MNDA",4.00294416694303
"MPP1",3.9295832333708
"UBD",3.88392117766091
"LYZ",3.84693876965264
"EVI2A",3.8425169981904
"FCRL3",3.81109321622542
"KLRB1",3.78494029267359
"CCRL2",3.76844583420526
"DOK1",3.76426148149749
"BLK",3.75530780809388
"LRMDA",3.73858176499667
"FCRL2",3.72861342080454
"C3AR1",3.71748179508546
"FCGR1A",3.69900188157609
"RARRES1",3.68409984583892
"CCL21",3.66570596570134
"ANKRD44",3.66137595773674
"FPR1",3.62200888299548
"GIMAP5",3.54460786517518
"HK3",3.51079578277928
"CYP1B1",3.49947234804362
"MERTK",3.47599758712595
"RSC1A1",3.45901900587098
"FGL2",3.43428749778906
"MS4A1",3.42466625834928
"GZMB",3.38168432328368
"ERAP1",3.34477869305383
"CFD",3.32382010694122
"FUCA1",3.28792355244653
"PLA2G7",3.27524746201319
"APOBEC3D",3.26992995129917
"PATZ1",3.24441667450128
"LCP1",3.22175762464864
"FAM107B",3.19631978523727
"SLC37A1",3.17421380943067
"SLAMF8",3.16740700762073
"ZSCAN12",3.16701300511817
"NLRP2",3.16313439103005
"CR2",3.14755500048667
"BNIP3L",3.13968000632169
"SDC3",3.12861528639755
"MTMR10",3.10421742652615
"POLR3C",3.09841697514995
"BCL2L14",3.09305521224643
"NOSTRIN",3.07048686407361
"SIGIRR",3.06768044714777
"CXCL9",3.06486526470668
"CLEC2D",3.05784209477723
"MSR1",3.05567303660542
"HLA-DQA1",3.03592676979776
"CYBB",3.03336269012785
"ZFY",3.03218746005181
"PEX6",3.02654357667366
"FCRL5",3.00953993354313
"LPXN",3.00635497420457
"CLEC12A",2.99335334772399
"SGTB",2.98956426887147
"GFI1",2.98584892252523
"GZMA",2.97685405747892
"ITPR1",2.96268656531588
"NUP210",2.9592982870213
"ARHGAP25",2.95920923736453
"RIPOR2",2.95851188361787
"ARHGAP15",2.95112468947744
"PTGDS",2.93586626296032
"FCGR3A_FCGR3B",2.93416662414099
"CD3D",2.92366206770576
"IGSF6",2.92295423088213
"LIPA",2.92276083706643
"CD53",2.91799190533961
"FAM78A",2.91360690954232
"MTERF4",2.91217225196468
"GBP5",2.90738133407862
"SLC2A6",2.89854228507836
"CTSO",2.89591298530287
"LGMN",2.8861987756532
"PTPN2",2.87989382225983
"SIRPB1",2.86945848765161
"CXCL13",2.85408185841605
