"","pacient_10","pacient_11","pacient_5","pacient_6","pacient_4","pacient_1","pacient_2","pacient_3","pacient_7","pacient_9","pacient_8"
"A3GALT2",0,0,164,19,46,1,0,0,0,0,0
"A4GALT",2,662,665,830,748,89,256,333,210,2,504
"A4GNT",0,1041,103,0,0,2,0,0,84,0,0
"AAAS",0,368,70,634,707,425,587,872,542,0,370
"AACS",1,0,562,728,250,209,365,445,62,46,785
"AADAC",0,382,0,5,144,0,0,1,260,683,77
"AADACL2",0,541,59,0,0,0,0,7,28,433,0
"AADACL3",0,444,0,0,22,53,0,0,0,1369,0
"AADACL4",0,0,144,0,1,59,4,0,0,0,0
"AADAT",0,1058,194,80,86,0,14,54,78,667,161
"AAGAB",3,8,838,1462,834,629,1771,1397,1061,0,1393
"AAK1",2,531,138,589,1214,385,1972,1932,230,1008,745
"AAMDC",1323,18,152,261,176,101,159,223,476,0,114
"AAMP",3,296,1317,640,690,1135,838,1056,470,1182,839
"AANAT",0,347,0,0,0,0,0,0,78,342,0
"AAR2",0,687,72,142,265,0,401,361,37,0,81
"AARD",0,931,0,0,0,0,37,15,0,1031,0
"AARS1",0,401,14,368,651,235,597,924,93,0,172
"AARS2",15,573,729,275,207,486,209,369,618,642,656
"AARSD1",1,1,0,151,221,477,329,515,266,0,507
"AASDH",1574,551,50,62,177,672,319,421,453,1013,218
"AASDHPPT",0,977,472,593,1206,381,1338,1241,161,779,262
"AASS",1,637,0,221,97,64,109,235,0,640,91
"AATF",963,666,1476,3285,2897,1106,2931,2584,1596,575,2382
"AATK",0,28,212,92,158,71,7,77,66,605,0
"ABAT",0,744,0,166,266,501,555,408,251,1009,106
"ABCA1",3,434,387,936,3019,704,1695,1681,1892,0,1624
"ABCA10",0,780,0,31,0,100,67,537,266,0,180
"ABCA12",0,332,0,615,88,0,0,0,0,561,109
"ABCA13",0,490,60,96,39,0,0,3,98,523,0
"ABCA2",1,2,0,145,1024,297,761,1151,254,0,734
"ABCA3",0,125,133,10,37,0,83,242,61,0,151
"ABCA4",0,631,0,0,7,0,0,2,1,1041,0
"ABCA5",0,1070,4,246,524,131,657,761,311,37,323
"ABCA6",1,1117,85,53,682,537,107,656,841,342,599
"ABCA7",69,85,1,73,675,270,421,598,127,0,0
"ABCA8",2533,126,0,10,0,0,0,288,0,0,0
"ABCA9",0,341,0,0,30,53,36,106,0,0,71
"ABCB1",0,737,0,49,96,45,237,169,134,365,99
"ABCB10",2,147,0,45,46,311,69,119,1254,0,486
"ABCB11",0,704,135,8,42,45,0,54,72,0,0
"ABCB4",0,700,0,0,164,0,84,67,0,0,0
"ABCB5",0,435,0,0,36,0,0,1,0,0,56
"ABCB6",0,2,140,1,75,135,69,178,115,0,57
"ABCB7",3,723,0,343,616,292,552,622,126,0,0
"ABCB8",0,584,150,216,474,211,291,336,48,553,0
"ABCB9",0,403,65,0,0,0,21,16,48,254,0
"ABCC1",2405,793,1406,1472,2055,1030,2512,2521,1674,35,1887
"ABCC10",0,954,1,225,729,374,767,862,572,0,639
"ABCC11",1,795,0,0,28,0,0,0,0,752,0
"ABCC12",0,241,0,0,124,0,1,9,123,617,72
"ABCC2",0,247,0,0,42,0,13,23,0,540,0
"ABCC3",0,954,468,138,80,243,700,907,391,288,320
"ABCC4",0,132,0,150,193,173,198,459,46,0,121
"ABCC5",7429,18,1563,950,787,1041,608,1433,3871,78,3036
"ABCC6",0,2877,0,16,74,23,1,42,0,1697,58
"ABCC8",0,262,0,0,1,0,0,5,0,0,0
"ABCC9",1,2,365,104,494,113,84,258,62,0,70
"ABCD1",2,564,125,320,699,550,356,437,242,0,358
"ABCD2",0,483,0,0,322,78,682,423,0,61,112
"ABCD3",0,480,0,189,287,36,382,417,162,0,39
"ABCD4",0,305,53,21,57,9,4,21,76,0,0
"ABCE1",2,133,1106,735,573,435,1213,1185,129,0,517
"ABCF1",3,1075,1373,1738,1495,1773,2307,2475,1336,667,1320
"ABCF2",1,470,603,403,318,562,323,329,364,403,293
"ABCF2_ABCF2-H2BE1",49,657,191,778,899,154,806,718,280,601,309
"ABCF3",0,0,306,433,346,146,340,352,0,1,30
"ABCG1",1,642,350,144,856,874,623,684,550,0,47
"ABCG2",0,672,73,36,170,0,56,250,0,0,1
"ABCG4",0,400,102,42,0,0,0,2,0,701,0
"ABCG5",0,527,0,1,67,0,0,0,0,0,0
"ABCG8",0,0,0,0,62,0,0,0,0,0,0
"ABHD1",0,764,0,0,157,0,2,18,0,343,96
"ABHD10",0,5,179,198,371,627,325,566,672,230,594
"ABHD11",0,459,125,223,192,63,139,168,398,601,247
"ABHD12",3,574,493,170,1423,941,1729,1705,282,0,244
"ABHD12B",0,0,81,12,0,6,0,0,0,0,0
"ABHD13",1,653,1124,379,973,1493,925,1122,516,497,990
"ABHD14A",2192,301,285,84,41,37,139,225,61,0,153
"ABHD14A_ABHD14A-ACY1",1,450,165,34,141,228,188,243,81,0,101
"ABHD14B",0,602,0,256,234,102,824,831,0,0,0
"ABHD15",2556,982,600,168,238,1460,255,350,3868,1253,1365
"ABHD16A",0,593,876,502,879,1630,721,1002,744,614,383
"ABHD16B",0,474,5,0,17,0,1,0,63,665,0
"ABHD17A",0,102,0,0,48,0,39,27,129,0,0
