"","x"
"CHI3L1",6.83686405081538
"TNFRSF9",5.72629309824406
"ADAM28",5.50099713133078
"IL23R",5.45748679987486
"SPP1",5.03120436285567
"THEMIS",4.79641155474371
"CYP27A1",4.65461313765577
"SH2D1A",4.35250210557054
"IKZF1",4.31448474788668
"IKZF3",4.24120707839974
"CCL19",4.14512736022026
"ADAMDEC1",4.0771963000208
"MNDA",4.00232708142515
"MPP1",3.92917068385251
"UBD",3.88374356528077
"LYZ",3.84770433819306
"EVI2A",3.8427429316796
"FCRL3",3.8116245182515
"KLRB1",3.7857341077952
"CCRL2",3.76842268319992
"DOK1",3.76466249052415
"BLK",3.75580046054365
"LRMDA",3.73764859533033
"FCRL2",3.72885140049945
"C3AR1",3.71753952302847
"FCGR1A",3.69938307306706
"RARRES1",3.68390112774473
"CCL21",3.66534776090128
"ANKRD44",3.66117519928102
"FPR1",3.62187647371092
"GIMAP5",3.54506556932002
"HK3",3.51058464374019
"CYP1B1",3.49966179026413
"MERTK",3.47674839538459
"RSC1A1",3.45801338174825
"FGL2",3.43383819448582
"MS4A1",3.42526339760487
"GZMB",3.38159085257124
"ERAP1",3.34477893863974
"CFD",3.32326445119176
"FUCA1",3.28857308533876
"PLA2G7",3.27602539143691
"APOBEC3D",3.27022918929433
"PATZ1",3.24442437219402
"LCP1",3.22209072578312
"FAM107B",3.19615211143331
"SLC37A1",3.17386615528067
"SLAMF8",3.16770091371811
"ZSCAN12",3.16723461879665
"NLRP2",3.16306977548342
"CR2",3.1483999974997
"BNIP3L",3.1393485226299
"SDC3",3.12874454543394
"MTMR10",3.10339505980007
"POLR3C",3.0976229506859
"BCL2L14",3.09324883386938
"NOSTRIN",3.0698478801199
"SIGIRR",3.06685456337997
"CXCL9",3.06463577081278
"CLEC2D",3.05757881138853
"MSR1",3.0550379972056
"HLA-DQA1",3.0361044510293
"CYBB",3.03387183598867
"ZFY",3.03284400253423
"PEX6",3.02565230292267
"FCRL5",3.01017007178401
"LPXN",3.00666589647205
"CLEC12A",2.99346311315293
"SGTB",2.98925514192883
"GFI1",2.98631124636749
"GZMA",2.97740009659972
"ITPR1",2.96230080766388
"NUP210",2.95979569274024
"ARHGAP25",2.95938903327182
"RIPOR2",2.9586291675801
"ARHGAP15",2.95142373277815
"PTGDS",2.93609201374547
"FCGR3A_FCGR3B",2.93379582957135
"CD3D",2.92411255076993
"IGSF6",2.9234486104331
"LIPA",2.92297011888913
"CD53",2.91856617488466
"FAM78A",2.91360643797496
"MTERF4",2.91319869899369
"GBP5",2.90743960400897
"SLC2A6",2.89900108917178
"CTSO",2.89646466940917
"LGMN",2.88639620821869
"PTPN2",2.87930865875593
"SIRPB1",2.86974570476982
"CXCL13",2.85471441800534
"ITGB7",2.85333482708388
"CDC14A",2.84599679188808
"HLA-A",2.84342435324956
"SLC9A8",2.84240840821904
"CTSH",2.83682410939113
"VOPP1",2.83398995555769
"SLC9A9",2.80994733706442
"BTLA",2.80952473972022
"FCRLA",2.80076916148896
"PLAC8",2.78790939973319
"KDM5D",2.78651201016828
"CD34",2.77517379773347
"LEF1",2.76803820966838
"TCF7",2.76754983858416
"B2M",2.76482461364124
"SMARCAL1",2.75845922866301
"CCR1",2.75283144245945
"URM1",2.74386706905632
"SH2D2A",2.73774507635675
"JAK3",2.73530785869392
"CCR7",2.73448037463839
"BTK",2.73234857191402
"CP",2.73160582953098
"HTRA4",2.72931313655259
"LAG3",2.72472301746542
"CD38",2.72446589366016
"PGD",2.71005684551763
"TAS2R46",2.68817426440583
"AOAH",2.68194951103578
"NMT2",2.67681781321929
"PPIL4",2.67114469397978
"SLAMF1",2.6692007285757
"PSAP",2.66705220235037
"CMKLR1",2.66330406162245
"LAPTM5",2.6614931135515
"SHISAL2A",2.65639268780589
"PTPRC",2.65358823074964
"TCTN1",2.65249458343214
"MAPRE2",2.64875778688348
"CR1L",2.64508632512631
"RUNX3",2.64259527971249
"HLA-DMB",2.64049890842294
"RHOU",2.63637242192485
"ABCA7",2.63467594050981
"PDSS2",2.63435768512356
"SLAMF7",2.63245813991947
"CD28",2.63162155595764
"LRRK2",2.62324823497847
"DMXL2",2.61836214502579
"RAB30",2.61648105349636
"TMEM50A",2.61108665254789
"GNPDA1",2.60453531431833
"ZNF813",2.60129207931982
"KLRG1",2.59628143173401
"TNFSF13B",2.59257652228371
"MARCHF1",2.58916295434751
"TLR4",2.58276454976949
"RRP7A",2.58162281249731
"ZNF429",2.57936155877609
"NMRK1",2.57754002874029
"TCN2",2.57224579238314
"DAGLA",2.56874336139886
"VAMP5",2.56462162705606
"METTL7A",2.5595464068748
"TMEM107",2.55814810657639
"CD74",2.55470762024274
"GP1BA",2.55462250748287
"ACAA2",2.55168515455723
"ASAH1",2.54774983242779
"IDO2",2.54746812575092
"KCNA3",2.54204073346279
"TMEM243",2.54200833506688
"SAMD10",2.53874038748703
"CCPG1",2.53716527847056
"GZMM",2.53316955994441
"NSMCE3",2.52745897082259
"MFNG",2.52544177699906
"SNAPC5",2.52300529154828
"NPAT",2.52101226751293
"FNBP1",2.51979834624723
"PLA1A",2.51691995129261
"GPR174",2.51318200221652
"EVI2B",2.50325631744645
"C2CD2L",2.50158092222134
"PIK3AP1",2.4996389016377
"THADA",2.49389349713925
"ARHGEF6",2.49005256697243
"FCMR",2.48571978556992
"DNAH1",2.47941206567395
"CXCR5",2.46610798741135
"PARP15",2.45069734638243
"RGS13",2.44417767946471
"TLR8",2.44213737037525
"LY9",2.43971254931466
"UNC93B1",2.43860755552034
"PRH1-TAS2R14",2.43380355913849
"CCDC71L",2.42904784986452
"ORAI3",2.42850489447119
"HLA-DRB3",2.42628158826501
"TENT2",2.42561279131214
"CHI3L2",2.42401583758625
"YIPF1",2.42330481342289
"ELF1",2.41695703567229
"TNS3",2.41652461797212
"DZIP3",2.4158371233373
"C1orf162",2.41456753662003
"ZNF181",2.41170267083714
"STAMBPL1",2.4112611225007
"CTSS",2.41060828610734
"HLA-DQB1",2.40957148502352
"LRRC25",2.40705356433209
"CALHM6",2.4049118685698
"CD68",2.40165826071878
"ZNF671",2.40146991279882
"SULT1A1",2.40049814430979
"GZMH",2.39653775073836
"FLI1",2.3964832187622
"FAM102B",2.3885717208604
