"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008544","GO:0008544","epidermis development","38/576","174/9381",0.218390804597701,3.5568127394636,8.70687791268106,3.48957916056123e-12,1.2943359467245e-08,1.14837230228844e-08,"ASAH1/BNC1/CD109/CERS3/CLDN1/CLIC4/COL17A1/COL6A1/COL7A1/CRABP2/CST6/DSP/EGFR/EMP1/FLNB/FOXC1/FST/GSDME/IRF6/JAG1/KLK7/KRT17/KRT5/KRT9/KRTDAP/LAMA5/LAMB3/LAMC2/LSR/PKP3/PLEC/PRKCH/PTHLH/SFN/SPINT1/SULT2B1/TGM1/TXNIP",38
"GO:0043588","GO:0043588","skin development","35/576","153/9381",0.228758169934641,3.72566040305011,8.69384010022385,6.24830290477674e-12,1.2943359467245e-08,1.14837230228844e-08,"ASAH1/ASPRV1/CD109/CERS3/CLDN1/CLIC4/COL1A2/COL3A1/COL5A2/COL5A3/COL6A1/DSP/EGFR/FLNB/FOXC1/FST/IRF6/ITGA2/ITGA3/ITGA6/ITGB4/ITGB6/JAG1/JUP/KRT17/KRT5/KRT9/LAMA5/LSR/PKP3/PLEC/PRKCH/SFN/TGM1/TXNIP",35
"GO:0034330","GO:0034330","cell junction organization","58/576","435/9381",0.133333333333333,2.17152777777778,6.39927469096605,1.22270682831913e-08,1.68855812990872e-05,1.49813762964575e-05,"ABL1/ACTG1/AJUBA/APBB2/APP/CD9/CDC20/CLDN1/COL17A1/CSK/CSMD2/CTTN/DAB2IP/DLG5/DOCK1/DSG2/DSP/DST/ENAH/EPB41L3/F2RL1/GJA1/GJB2/GJC1/HOPX/IRX3/ITGA2/ITGA3/ITGA6/ITGB4/JUP/LAMA5/LGMN/LRRK2/LSR/MARVELD2/MTSS1/NECTIN1/PCDHGC3/PDZRN3/PKP3/PLEC/PPFIA1/PRKCH/PTK2/PTK7/PTPRF/RAC3/RHOD/S100A10/SEMA3F/SFRP1/STRN4/THSD1/TJP1/TNC/TRIP6/ZDHHC12",58
"GO:0019886","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","11/576","27/9381",0.407407407407407,6.6352237654321,7.49967331333319,2.24817272498878e-07,0.000232854489990713,0.000206595240938442,"B2M/CD74/CTSS/FCER1G/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/LGMN/UNC93B1",11
"GO:0030855","GO:0030855","epithelial cell differentiation","46/576","347/9381",0.132564841498559,2.15901176753122,5.62678758352268,5.09529607496692e-07,0.000422196232771759,0.000374584713553358,"ABL1/ASAH1/CD109/CERS3/CLDN1/CLIC4/COL6A1/CTSB/DLG5/DSP/EDN1/EHF/F2RL1/FLNB/FOXC1/FRMD6/FST/GJA1/GSDME/ICAM1/ID2/IRF6/ITGA2/JAG1/KLF5/KRT17/KRT5/KRT9/LIPA/MARVELD2/MTSS1/PLEC/PLK4/PRKCH/PSAP/PTK6/PTK7/RHCG/SDC1/SFN/SPINT2/SULT2B1/TGM1/TJP1/TPP1/TXNIP",46
"GO:0045216","GO:0045216","cell-cell junction organization","23/576","118/9381",0.194915254237288,3.17447916666667,6.07950756896725,6.13190699600831e-07,0.000423408178074374,0.000375659986492299,"ACTG1/CD9/CLDN1/CSK/DLG5/DSG2/DSP/EPB41L3/F2RL1/GJA1/GJB2/GJC1/HOPX/IRX3/JUP/LSR/MARVELD2/MTSS1/NECTIN1/PKP3/PLEC/PRKCH/TJP1",23
"GO:0002495","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","11/576","31/9381",0.354838709677419,5.77906586021505,6.81657218038182,1.16464019376957e-06,0.000689300617541046,0.000611567452126817,"B2M/CD74/CTSS/FCER1G/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/LGMN/UNC93B1",11
"GO:0034329","GO:0034329","cell junction assembly","37/576","261/9381",0.14176245210728,2.30880826947637,5.48462382140255,1.37251888476036e-06,0.00071041780344454,0.000630303230465677,"ABL1/ACTG1/AJUBA/APP/CD9/CLDN1/COL17A1/CSMD2/CTTN/DLG5/DOCK1/DST/EPB41L3/GJA1/GJB2/GJC1/HOPX/IRX3/ITGA2/ITGA6/ITGB4/JUP/LSR/MARVELD2/NECTIN1/PKP3/PLEC/PRKCH/PTK2/RAC3/RHOD/S100A10/SFRP1/THSD1/TJP1/TRIP6/ZDHHC12",37
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","12/576","38/9381",0.315789473684211,5.14309210526316,6.54517394468069,1.58606510225867e-06,0.00071041780344454,0.000630303230465677,"CD84/DSC2/DSC3/DSG2/EMB/MPZL2/NECTIN1/NECTIN4/PCDH7/PCDHGC3/PTK7/PVR",12
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","18/576","82/9381",0.219512195121951,3.5750762195122,5.99000067469442,1.71474246547077e-06,0.00071041780344454,0.000630303230465677,"AJUBA/CD84/CLDN1/DSC2/DSC3/DSG2/EMB/ICAM1/ITGA3/MPZL2/NECTIN1/NECTIN4/PCDH7/PCDHGC3/PTK7/PTPRF/PVR/SELL",18
"GO:0002504","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","11/576","33/9381",0.333333333333333,5.42881944444444,6.5182884332091,2.37785436937066e-06,0.000844702475872904,0.000749444477240794,"B2M/CD74/CTSS/FCER1G/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/LGMN/UNC93B1",11
"GO:0030216","GO:0030216","keratinocyte differentiation","16/576","68/9381",0.235294117647059,3.83210784313726,5.99469956235391,2.4466400459751e-06,0.000844702475872904,0.000749444477240794,"ASAH1/CD109/CERS3/CLIC4/DSP/FLNB/FOXC1/IRF6/JAG1/KRT17/KRT5/PLEC/PRKCH/SFN/TGM1/TXNIP",16
"GO:0002757","GO:0002757","immune response-activating signaling pathway","48/576","398/9381",0.120603015075377,1.9641959798995,5.02740801701191,4.47004989864507e-06,0.00142457051769896,0.0012639201818679,"ABL1/ALPK1/APP/BCAR1/BIRC3/CARD8/CCR7/CD247/CD38/CD3D/CMKLR1/CSK/CTSS/DAB2IP/F2RL1/FCER1G/FCMR/FCRL3/FOSL1/FPR1/GBP1/GBP5/HLA-DPB1/HLA-DQB1/LAPTM5/LAX1/LIPA/LPXN/MNDA/MS4A1/NAGK/NFATC2/NLRP3/PIK3AP1/PRKCH/PTK2/PTPRC/RC3H1/S100A8/S100A9/SMPDL3A/THEMIS/TLR4/TLR8/TYROBP/UNC93B1/WDFY1/ZDHHC12",48
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","11/576","36/9381",0.305555555555556,4.97641782407407,6.11366432926705,6.23285504883495e-06,0.00172423992090353,0.00152979554703434,"B2M/CD74/CTSS/FCER1G/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/LGMN/UNC93B1",11
"GO:0003013","GO:0003013","circulatory system process","38/576","289/9381",0.131487889273356,2.14147202998847,5.04118299758354,6.24272237836179e-06,0.00172423992090353,0.00152979554703434,"ABCC5/ABL1/ADCY6/APP/CD38/CELF2/COL1A2/CTSZ/DSC2/DSG2/DSP/EDN1/EGFR/ERAP1/F2RL1/FOXC1/GJA1/GJC1/HBEGF/HOPX/ID2/IRX3/JUP/MMP2/NAV2/P2RY2/PIK3C2A/PLEC/POSTN/PPP1R13L/SCPEP1/SERPING1/SLC2A1/SLC5A1/SLC7A5/SLCO2B1/TJP1/ZEB2",38
"GO:0002764","GO:0002764","immune response-regulating signaling pathway","49/576","419/9381",0.116945107398568,1.90462161893397,4.84528675735007,8.3950719539907e-06,0.00217379894408647,0.00192865731995628,"ABL1/ALPK1/APP/BCAR1/BIRC3/CARD8/CCR7/CD247/CD38/CD3D/CMKLR1/CSK/CTSS/DAB2IP/F2RL1/FCER1G/FCMR/FCRL3/FOSL1/FPR1/GBP1/GBP5/HLA-DPB1/HLA-DQB1/IL20RB/LAPTM5/LAX1/LIPA/LPXN/MNDA/MS4A1/NAGK/NFATC2/NLRP3/PIK3AP1/PRKCH/PTK2/PTPRC/RC3H1/S100A8/S100A9/SMPDL3A/THEMIS/TLR4/TLR8/TYROBP/UNC93B1/WDFY1/ZDHHC12",49
