"","cell_type","VSCC_5","VSCC_6","VSCC_4","VSCC_1","VSCC_2","VSCC_3","VSCC_7","VSCC_8"
"1","Myeloid dendritic cell activated",8.24177314375415e-18,0,0,3.0827045613876e-18,5.14723973814016e-19,1.07320754961606e-18,3.24769221146474e-17,9.80557446151211e-18
"2","B cell",0.00386837664326737,4.5583809549813e-18,0.198457935128105,0.315532422430339,0.466512257178995,0.502783729812191,0.318280436558854,0.142984872247812
"3","T cell CD4+ memory",3.34910333973001e-19,0,1.05550167558847e-18,0,0.132854944936823,0.0625010670141599,1.4611464775948e-18,3.22748100328097e-20
"4","T cell CD4+ naive",1.92830864006221e-19,6.64691865509109e-18,0,0.019255513378108,0.113089700904292,0.0375439822921707,1.09496451923885e-19,9.04087931343675e-18
"5","T cell CD4+ (non-regulatory)",7.59972927134689e-18,0,0,0,0.0915262482458331,0,0,5.30831319192908e-19
"6","T cell CD4+ central memory",0.0164333953005211,0,1.672849420885e-17,0,0.0255197277466713,0,2.85038289593856e-18,0
"7","T cell CD4+ effector memory",4.64747572372414e-19,4.26600623219288e-18,2.71517833074427e-19,0,0.0929206509688698,0.0993247662876364,4.9227967780669e-17,0
"8","T cell CD8+ naive",4.4871330179853e-19,1.47776683956379e-20,0.0303097488471847,8.74066360839792e-19,0.0355778527802905,0.0344857206790969,0.0300161357474974,1.33667949406776e-18
"9","T cell CD8+",6.80336001071826e-19,9.53635356324558e-19,0.0953560793125245,0.0480323244910522,0.142751465995021,0.132065134285124,0,0
"10","T cell CD8+ central memory",4.69281726709979e-18,0.00383865712124124,0.0894880547220831,0.0419052293680909,0.124712522701756,0.0971206358418646,0,2.20841225739073e-17
"11","T cell CD8+ effector memory",2.43787873019549e-17,6.96329684186899e-19,0.00269572953302906,1.39738069646696e-17,0.0317982706848693,0.00260968500804606,0,0
"12","Class-switched memory B cell",0.0257454894106822,4.37345326761853e-19,0.0664145401120813,0.0706357256842938,0.156415408779544,0.166376531237212,0.0691958755308575,0.0268550652797949
"13","Common lymphoid progenitor",0,0.0474943124139556,0.0575015001327303,4.45552808583442e-18,0.0226109959606352,0.00934736106896861,2.66636261106101e-19,1.28902260365583e-18
