"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A4GALT",438.985799452112,-1.16811010618528,0.681001019744999,-1.7152839310324,0.0862931832139567,0.359867882315157
"AAAS",485.090436397432,0.116866356020745,0.67736835335496,0.172529991166421,0.863020885323004,0.956718772822556
"AACS",412.852973767625,-1.23567141586622,0.703735487239746,-1.75587481130571,0.0791097867831828,0.344580968518053
"AAGAB",1116.25625517177,-0.588542126453784,0.392074015146226,-1.50109954681461,0.133329816027239,0.447444102815432
"AAK1",744.301858062802,1.11136106306772,0.653029344158731,1.70185470685003,0.0887826081919557,0.365751155990786
"AAMDC",212.438058054371,-1.218840360262,0.649870963179213,-1.87551133889619,0.060722411048678,0.294946983914681
"AAMP",843.922175296263,-0.222633968275778,0.486356222699688,-0.457759061948403,0.647125550304561,0.872867021341035
"AAR2",137.359151059486,1.00082909819538,1.2935408786595,0.773712771437529,0.439100665781964,NA
"AARS1",314.558518609889,1.32807893160517,0.855254719402189,1.55284607202574,0.120459912927106,0.427854161282259
"AARS2",462.63937673042,-1.2402967259486,0.616044890156819,-2.01332199287112,0.0440807661342731,0.245959515341615
"AARSD1",292.290757556456,0.283770965393593,1.2756869325297,0.222445615893292,0.823967004854974,0.945208900606176
"AASDH",293.881819091984,0.570043273000457,0.922631353736854,0.617845112993028,0.536677442459539,0.816035809431544
"AASDHPPT",598.957404079147,0.939756697065419,0.529769721192303,1.77389658085856,0.0760802584177602,0.336516141381477
"AASS",89.0792829888648,0.170597900916917,1.76926447489746,0.0964230635596778,0.923184575393591,NA
"AATF",2137.2513912151,-0.417265331770869,0.393542032207019,-1.06028148869082,0.289016558174709,0.637343159850749
"ABAT",258.446117758437,1.22457668384821,1.23042926477295,0.995243464137033,0.319617867199118,0.666607787373415
"ABCA1",1388.09335787376,-0.0456934150140983,0.628346745143357,-0.0727200631932507,0.942028882698272,0.980163652763834
"ABCA10",134.464305133927,-0.192897775031311,1.86971446202339,-0.103169643787511,0.917828332068266,NA
"ABCA2",462.636816822124,0.925465458735329,1.2658359422726,0.731110112953347,0.464711897720608,0.773291825274609
"ABCA5",318.398239460763,0.578871580674832,1.01446052999188,0.570620111439392,0.568257182710416,0.830051607608278
"ABCA6",440.214717526371,-0.21285196200089,0.993849633906963,-0.214169180869081,0.830415128573895,0.946591643846323
"ABCA7",220.764043074174,2.63454841256726,1.42675304891966,1.8465342790486,0.0648146668402906,0.308534612777539
"ABCB10",340.29049807071,-2.09797517501293,1.54287548340984,-1.35978256027265,0.173898742779175,0.511903537495316
"ABCB7",268.289904872088,1.59884616650085,1.6633707081196,0.961208562045865,0.336447312200802,0.679395443158959
"ABCB8",186.723251789024,1.17848322091484,1.22826384759053,0.959470738495362,0.337321653928346,0.679476640262376
"ABCC1",1694.05443267494,-0.232939098829613,0.30187798371379,-0.771633280320509,0.440331657329437,0.758048016210959
"ABCC10",472.814148971393,0.329761836819819,1.13273058046013,0.291121156706006,0.770958659651883,0.922518685803908
"ABCC3",368.084281030244,-0.0758166094676246,0.764643069693928,-0.0991529413821439,0.921016838000438,0.973659991897956
"ABCC5",1773.00329567897,-1.80887238662142,0.596762988903657,-3.03114036938617,0.00243631956521733,0.038770023983675
"ABCC9",175.090832902003,0.146853831717551,0.857537339062323,0.171250655835148,0.864026678147031,NA
"ABCD1",361.016559303734,0.532309439925776,0.554422216456862,0.960115637731112,0.336997019002791,0.679395443158959
"ABCD3",158.484167122295,0.831748591441786,1.34429904390026,0.618722891469599,0.536098926964559,NA
"ABCE1",663.599473959228,-0.0674317052755324,0.63758579030556,-0.10576099138473,0.91577198751561,0.971767674763796
"ABCF1",1622.52693877558,-0.0143625091210232,0.302756129320943,-0.0474392018197523,0.962163185642094,0.985823865415819
"ABCF2",401.542184025815,-0.495267017216378,0.550361859916391,-0.899893421560165,0.368176971315301,0.703170099221934
"ABCF2_ABCF2-H2BE1",458.409822557159,0.146436906677626,0.647362549544104,0.226205403418458,0.821041668206974,0.944732921797631
"ABCF3",217.499825333154,0.132454980873466,1.33669656730332,0.0990912852725308,0.921065791378488,0.973659991897956
"ABCG1",482.018473629445,0.970547164625234,0.793741598393525,1.22274952779286,0.221424314062399,0.5682117635627
"ABHD10",440.27542602066,-0.265832416552941,0.686053348205975,-0.387480678066932,0.698400386579001,0.892333015663837
"ABHD11",198.782471326384,-1.43003495889239,0.596954647347515,-2.39555042455327,0.016595431407975,0.13907350122881
"ABHD12",736.004656324419,1.75083844878943,0.437432310708327,4.00253572022223,6.26672028080412e-05,0.0024998826242339
"ABHD13",902.031687161298,0.192517333759996,0.538540059457836,0.357480061843142,0.720732449801778,0.901630900011538
"ABHD14A",120.472298582589,-1.00990876445151,0.806875444187345,-1.25162907326874,0.210705055611202,NA
"ABHD14A_ABHD14A-ACY1",136.533472664919,0.620860030750495,0.67889605849729,0.914514118884037,0.360446762465051,NA
