"","x"
"CHI3L1",5.98198908256076
"IL23R",4.700930020163
"SPP1",4.44839437137354
"ADAM28",4.38885689678623
"TNFRSF9",4.07454457246381
"CYP27A1",3.74868599708769
"CCL19",3.71644366603657
"LYZ",3.58936996864038
"UBD",3.54387734338317
"FCRL3",3.37411251893454
"FPR1",3.36217645618899
"THEMIS",3.3544349505716
"LCP1",3.1593556414173
"GIMAP5",3.10237907896814
"MNDA",3.05584796890118
"MS4A1",2.99767261445555
"PLA2G7",2.98880168555337
"SLAMF8",2.98523820017851
"FUCA1",2.93278455685433
"HK3",2.91606138517513
"CYBB",2.86634074721986
"HLA-DQA1",2.84614050631445
"IKZF1",2.78502954236418
"VOPP1",2.7239856884433
"LGMN",2.70928457240736
"LPXN",2.70557426632889
"PTGDS",2.70244266552239
"FAM107B",2.69120139091695
"GBP5",2.62946523497277
"ANKRD44",2.62330887642457
"CLEC2D",2.59645974325788
"FGL2",2.58769961290339
"HLA-DMB",2.58239786310594
"SDC3",2.55094030580515
"CXCL9",2.54650683878184
"CYP1B1",2.54579637509001
"SLAMF7",2.5313707272783
"PSAP",2.4994083053402
"LAPTM5",2.47260793620751
"IGSF6",2.46169947534932
"B2M",2.44947677380083
"AOAH",2.44063892139297
"KLRB1",2.44014555293834
"VAMP5",2.43707025418833
"JAK3",2.40835868481439
"ERAP1",2.40160334426541
"ASAH1",2.38496609852459
"DMXL2",2.37990892958904
"CD38",2.36261836332976
"PLAC8",2.34578929609501
"PTPRC",2.33943389568846
"LRRK2",2.32800080944985
"CD3D",2.30815236587343
"TLR4",2.30814132120042
"METTL7A",2.25704600938268
"SLC9A9",2.24770041908153
"CD68",2.24652102494636
"HNMT",2.22100531418388
"NMRK1",2.21765895855911
"SRGN",2.20491209665762
"SERPING1",2.19417956320376
"LIPA",2.18078613822031
"CTSS",2.1614653047169
"TYROBP",2.14654069105165
"CMKLR1",2.1458930638484
"OMA1",2.12464833455261
"MERTK",2.1221640106477
"CD74",2.10704019113352
"FCMR",2.09942716257012
