"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008544","GO:0008544","epidermis development","36/577","168/9364",2.6080501370959e-11,1.07347343642867e-07,9.61409640011563e-08,"ASAH1/BNC1/CD109/CERS3/CLDN1/CLIC4/COL17A1/COL7A1/CRABP2/CST6/DSP/EGFR/EMP1/FLNB/FOXC1/FST/GSDME/IRF6/JAG1/KLK7/KRT17/KRT5/KRT9/KRTDAP/LAMA5/LAMB3/LAMC2/LSR/PLEC/PRKCH/PTHLH/SFN/SPINT1/SULT2B1/TGM1/TXNIP",36
"GO:0043588","GO:0043588","skin development","33/577","149/9364",7.0691314446783e-11,1.45482725131479e-07,1.30295254311913e-07,"ASAH1/ASPRV1/CD109/CERS3/CLDN1/CLIC4/COL1A2/COL3A1/COL5A2/COL5A3/DSP/EGFR/FLNB/FOXC1/FST/IRF6/ITGA2/ITGA3/ITGA6/ITGB4/ITGB6/JAG1/JUP/KRT17/KRT5/KRT9/LAMA5/LSR/PLEC/PRKCH/SFN/TGM1/TXNIP",33
"GO:0034330","GO:0034330","cell junction organization","56/577","388/9364",1.37046836237455e-09,1.88028259317788e-06,1.68399305439848e-06,"ABL1/ACTG1/AJUBA/APBB2/APP/CD9/CDC20/CLDN1/COL17A1/CSK/CTNND1/CTTN/DAB2IP/DLG5/DSG2/DSP/DST/EPB41L3/F2RL1/GJA1/GJB2/GJC1/HOPX/IRX3/ITGA2/ITGA3/ITGA6/ITGB4/JUP/LAMA5/LGMN/LRRK2/LSR/MARVELD2/MTSS1/NECTIN1/PCDHGC3/PDZRN3/PKP3/PLEC/PPFIA1/PRKCH/PTK2/PTK7/PTPRF/RAC3/RHOD/S100A10/SEMA3F/SFRP1/SRGN/THSD1/TJP1/TNC/TRIP6/ZDHHC12",56
"GO:0045216","GO:0045216","cell-cell junction organization","24/577","116/9364",1.15187091551271e-07,0.000118527517206257,0.00010615399858225,"ACTG1/CD9/CLDN1/CSK/CTNND1/DLG5/DSG2/DSP/EPB41L3/F2RL1/GJA1/GJB2/GJC1/HOPX/IRX3/JUP/LSR/MARVELD2/MTSS1/NECTIN1/PKP3/PLEC/PRKCH/TJP1",24
"GO:0019886","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","11/577","27/9364",2.33027472581261e-07,0.000170459930430639,0.000152664998303948,"B2M/CD74/CTSS/FCER1G/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/LGMN/UNC93B1",11
"GO:0034329","GO:0034329","cell junction assembly","35/577","223/9364",2.48483863601514e-07,0.000170459930430639,0.000152664998303948,"ABL1/ACTG1/AJUBA/APP/CD9/CLDN1/COL17A1/CTNND1/CTTN/DLG5/DST/EPB41L3/GJA1/GJB2/GJC1/HOPX/IRX3/ITGA2/ITGA6/ITGB4/JUP/LSR/MARVELD2/NECTIN1/PKP3/PLEC/PRKCH/PTK2/RHOD/S100A10/SFRP1/THSD1/TJP1/TRIP6/ZDHHC12",35
"GO:0002495","GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","11/577","31/9364",1.20617239179777e-06,0.000709229366377091,0.000635190333244482,"B2M/CD74/CTSS/FCER1G/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/LGMN/UNC93B1",11
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","12/577","38/9364",1.64641156000104e-06,0.000842904134770804,0.000754910306369842,"CD84/DSC2/DSC3/DSG2/EMB/MPZL2/NECTIN1/NECTIN4/PCDH7/PCDHGC3/PTK7/PVR",12
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","18/577","83/9364",2.17367964891003e-06,0.000842904134770804,0.000754910306369842,"AJUBA/CD84/CLDN1/DSC2/DSC3/DSG2/EMB/ICAM1/ITGA3/MPZL2/NECTIN1/NECTIN4/PCDH7/PCDHGC3/PTK7/PTPRF/PVR/SELL",18
"GO:0002504","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","11/577","33/9364",2.46163381872472e-06,0.000842904134770804,0.000754910306369842,"B2M/CD74/CTSS/FCER1G/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/LGMN/UNC93B1",11
