"","cell_type","pacient_10","pacient_11","pacient_5","pacient_6","pacient_4","pacient_1","pacient_2","pacient_3","pacient_7","pacient_9","pacient_8"
"1","B cell",0,0.109681106065085,0.03480604366728,0.00428089053750152,0.0578758306790338,0.0606818590600421,0.122346814580968,0.118489001512113,0.0182503551197923,0.16605256478218,0.0139310217105638
"2","Macrophage M1",4.65742072902866e-06,0.0278996670575197,0.0146741120869609,0.0373280903426197,0.124698221164075,0,0.0268003574146903,0.00528153766956611,0,0.00488817397644483,0.022021651122677
"3","Macrophage M2",0.00867671577411677,0.258272587988212,0.116671122333591,0.047041749511112,0.216806202649089,0.467384547784995,0.0883676015803131,0.337461954110123,0.217073685043609,0.00899922061961528,0.0712970300696377
"4","Monocyte",0,0.0419024593845914,0,0,0.000273275207218787,0.0339131432335757,0.0107564987218041,0.0632290714890313,0,0,0
"5","Neutrophil",0,0,0,0,0,0,0,0,0,0.0452207810219753,0
"6","NK cell",0,0.0554017566586937,0.0240513154139748,0.015947182626254,0.0488863561279062,0.00918017878781817,0,0.0120992137629213,0.00802675122723595,0.00672718483465608,0.0286382955024574
"7","T cell CD4+ (non-regulatory)",0,0,0,0,0,0,0.303870101240094,0.0723762234878036,0.0729409480228554,0,0
"8","T cell CD8+",0,0,0,0,0.162704613930981,0.0605621311771873,0.0334547475658401,0.0577996847260888,0.0157779913473911,0,0
"9","T cell regulatory (Tregs)",0.0741936630461915,0.0773872794273962,0.0358740335666796,0.0329728838094899,0.00742265341379214,0.0232766705605021,0.126769817391476,0.109147133473067,0.0209832209387289,0,0.0460516018428065
"10","Myeloid dendritic cell",0,0,0,0,0,0,0,0,0,0.0318807136451049,0.00398168308409021
"11","uncharacterized cell",0.917124963758963,0.429455143418502,0.773923372931514,0.862429203173023,0.381332846827904,0.34500146939588,0.287634061504814,0.224116179769286,0.646947048300388,0.736231361120023,0.814078716667767
