"","cell_type","pacient_10","pacient_11","pacient_5","pacient_6","pacient_4","pacient_1","pacient_2","pacient_3","pacient_7","pacient_9","pacient_8"
"1","Myeloid dendritic cell activated",0,7.50617930125483e-18,0.000215721191227451,0,6.5057005473659e-18,0.0364363618800902,0,0.0112215623749936,1.81955324776709e-17,0,0
"2","B cell",0.0698987611816346,0.00471077875872926,0.00530710773187798,0,0.209267224058425,0.325816973168633,0.465687383600572,0.502361897616277,0.330759592161277,6.45421802356341e-19,0.154984102905472
"3","T cell CD4+ memory",0,1.3149316299058e-18,0.00609047043332032,0.040345531498312,0.0539134878985669,0.115556101017927,0.334168852336569,0.232088900180189,0.0946608268401538,1.56074465984349e-18,0.0435975325462002
"4","T cell CD4+ naive",2.72344920514978e-17,8.7631707446333e-17,0,0,5.71017296538735e-20,0.0509011873804479,0.117116608243254,0.0372733540452352,0.0158255826430654,1.86380005350338e-17,2.05780964704618e-19
"5","T cell CD4+ (non-regulatory)",0,0,0,4.88042479852118e-19,1.92655019608453e-17,5.56170777747836e-18,0.0790814504085509,0,2.44079306322559e-18,2.50366968263499e-17,0
"6","T cell CD4+ central memory",4.42374513707021e-18,0,0.0308230377067524,2.11879272643744e-18,1.00833659513883e-17,1.45760709778848e-17,0.0272898948256967,0.0032221736167131,0,1.73344525634569e-17,0.00151356114833291
"7","T cell CD4+ effector memory",1.34641654634009e-18,0,0.0640115167324144,0.00789811714728805,0,1.13307521674989e-17,0.182929563636152,0.203532787256264,0,5.22845086397102e-17,5.04052197108228e-19
"8","T cell CD8+ naive",0,0,0.0279188564416312,0.0100247184361302,0.0792929230290976,0.039823957411326,0.0886632290999806,0.0861615499728347,0.100387224721304,0,3.48367949849263e-19
"9","T cell CD8+",0,0,0,0.00450428519363691,0.147788652749961,0.0864419739624389,0.182358057534255,0.166304038953994,0.0125000354265873,0,9.48991499913495e-19
"10","T cell CD8+ central memory",0,2.3746188540158e-17,0,0.00333039000516934,0.0685853411512458,0.0519292821397225,0.112045069109267,0.0820801505009687,0,0,4.27793318963004e-17
"11","T cell CD8+ effector memory",2.34755272433428e-18,0,3.22329057946777e-18,0.0220008572880669,0.131780527828773,0.0481215234012273,0.148181977736083,0.11647808821831,0.0324770948426373,0,1.93470948756506e-17
"12","Class-switched memory B cell",4.67117359733448e-18,0,0.0257756033367578,5.61140296342301e-19,0.0643280932726395,0.0688072763987885,0.155742579679915,0.165316133001156,0.0677285570258255,0.101506123863073,0.0259264462940796
"13","Common lymphoid progenitor",2.75282945526975e-18,0.0223988821746668,6.15261942751597e-19,0.0661864598330093,0.0877912660472922,0.00896720183808109,0.0388136715470488,0.0283078965852115,0,5.48176168740804e-18,0.0113278526378337
"14","Common myeloid progenitor",2.45470586890251e-17,0.309670992345716,0.00724659478873843,5.30055113238035e-18,4.82323048859315e-19,0,1.80865409483871e-18,1.89095968078221e-19,0.0220352950991737,0.021538584594257,0.00925907983614336
"15","Myeloid dendritic cell",7.86656756119289e-20,1.83327051400293e-18,0.0038922257648818,1.48524703371699e-19,7.42517062003136e-19,0.0205419752118961,9.49827833193376e-19,0.0212614055510582,0.0635094215611,8.64302089415247e-18,0.00549364584681166
"16","Endothelial cell",0,8.13823770311264e-18,3.79941223887986e-18,0.00494378515533723,0.00560953585518036,0.0013434573888982,5.78864003129275e-19,0.0104904206972482,6.0082081955675e-20,0,2.72526892753175e-18
