"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A4GALT",265.231947405305,-0.857765360420465,0.97273581437103,-0.881807113244922,0.377881124334413,0.884618045726191
"AAAS",242.56650408189,0.651079942052644,1.0938511281414,0.595218056006318,0.551697722386352,0.935194611207918
"AACS",192.28209531184,-0.461963125458754,1.14188315489364,-0.404562518922336,0.685799114040179,0.962334460483039
"AAGAB",516.722930494306,0.225376414369184,1.06910853989274,0.210807795429072,0.833037255366418,0.979764350569534
"AAK1",484.807952452043,0.74770637693981,0.708204912940704,1.05577688501917,0.291070161110551,0.834681045884212
"AAMDC",92.410948447819,-0.348642075657958,1.27669782368032,-0.273081123184602,0.784790856956696,0.975000809456766
"AAMP",520.930185155331,-0.175691256956453,0.613887922473635,-0.286194353276267,0.774729268387289,0.973709543054837
"AAR2",117.181021836143,0.00577342776990102,1.52001310779437,0.00379827498874572,0.996969422315768,0.99873412952456
"AARS1",174.935115915793,1.33581636856476,1.19989617396613,1.11327662971818,0.265589640341864,0.817492838284357
"AARS2",449.678703450448,-1.7349581299751,0.676737962502098,-2.5637074113006,0.0103560804269529,0.1896692094392
"AARSD1",135.778468592367,1.02530058897342,1.46207183513069,0.701265535890564,0.483137317504327,0.923343384368549
"AASDH",276.129407376484,-0.539857533611832,0.922685652748483,-0.585093668687393,0.558484735788633,0.935194611207918
"AASDHPPT",415.386519498647,0.428444390896133,0.756005281249616,0.56672142579209,0.5709034616517,0.939776127013301
"AASS",154.918169943396,-1.80551144424623,1.40572385599086,-1.28439980338355,0.199002101725086,0.752587090325714
"AATF",1142.815428491,0.0707431900927775,0.608474440367062,0.116263207457164,0.907443944015848,0.987173325511887
"ABAT",258.667482630793,-0.328625722428881,1.17884442836959,-0.278769373227127,0.780421819681334,0.974858558220708
"ABCA1",672.167186134268,0.668259242816458,0.971376768189003,0.687950612677648,0.491483882598921,0.926094376903735
"ABCA2",216.12034845583,1.75644225497759,1.37587193120772,1.27660301452317,0.201742437073401,0.756284228021741
"ABCA5",229.408349997882,0.121943956430334,1.08955720637447,0.111920655213787,0.910886319005796,0.987761961781372
"ABCA6",314.583457970103,-0.47464529358869,0.900745564895761,-0.526947133671003,0.598230301248017,0.94497239997004
"ABCA7",118.458423520763,2.59214912383575,1.4158848432137,1.83076267555223,0.0671359735983142,0.505324758632804
"ABCB1",129.997202961669,-1.38168039536995,1.30421626904128,-1.05939515413776,0.289419855672026,0.834681045884212
"ABCB10",169.956595982323,-1.51551528116446,1.43477567823265,-1.05627332840717,0.290843357704328,0.834681045884212
"ABCB7",210.752085711205,0.530810561586099,1.50421799216346,0.352881407051018,0.724177350311856,0.967642261910844
"ABCB8",178.146562546768,-0.211848231325917,1.21724023960341,-0.174039786422884,0.861834194302629,0.984087263416747
"ABCC1",888.359251135999,0.282311530194825,0.729027391522623,0.387244064458536,0.698575531247298,0.963173662091386
"ABCC10",281.825415489839,0.395284196050762,1.25816175355359,0.314175975334101,0.75338738844328,0.971150817373123
"ABCC3",260.629171559521,-0.343447609977131,0.872081564681483,-0.39382510064018,0.693710171323067,0.962428840974676
"ABCC5",806.563217190008,-1.00206990659454,0.911411854804481,-1.09946990629116,0.271563153369986,0.820143179669662
"ABCC9",88.8169406705949,0.78441318398842,1.31942858345056,0.594509770234802,0.552171209520584,0.935194611207918
"ABCD1",223.58073721531,0.452925144429458,1.03984489432296,0.435569907495056,0.663148808049672,0.959971665931123
