"","Min","Max","Mean","Median","Mode","SD","Variance","Range","Q1","Q3","IQR","Skewness","Kurtosis","Missing","CV"
"pacient_10",0,1638654,711.380634305527,0,0,19984.874311313,399395201.238976,1638654,0,3,3,63.4417929641862,4394.88888959388,0,28.0930817449407
"pacient_11",0,1527692,748.234652253722,500,0,14954.992088055,223651788.353788,1527692,248,729,481,96.9935026850134,9556.87034302143,0,19.9870348733646
"pacient_5",0,285334,633.408780338568,129,0,4216.58304404465,17779572.5673249,285334,0,443,443,36.1619881907404,1848.39736896732,0,6.65696967729246
"pacient_6",0,264344,656.934376912095,121,0,3751.94577338996,14077097.0864588,264344,10,473,463,32.1341422671671,1631.15098550672,0,5.71129462127693
"pacient_4",0,225483,690.968131756068,162,0,3228.49958497665,10423209.5701944,225483,37,615,578,36.2575045226063,1941.21249999335,0,4.672429069589
"pacient_1",0,461925,643.675249847032,67,0,5260.33018818003,27671073.6886781,461925,0,341,341,48.0519107962909,3419.29779146193,0,8.17233564507899
"pacient_2",0,162327,725.008209259637,133,0,3112.20378866738,9685812.42219562,162327,4,631,627,23.3616454941586,823.599289657254,0,4.29264627478563
"pacient_3",0,189344,826.828421374669,183,0,3680.85268415701,13548676.4824659,189344,8,732,724,24.6835157147209,878.043450655255,0,4.45177329298538
"pacient_7",0,658315,696.874821537834,72,0,6729.8220599454,45290504.9585277,658315,0,291,291,57.4790616333213,4888.02408985676,0,9.65714623624127
"pacient_9",0,2325356,647.08387721803,0,0,18538.6139411131,343680206.857632,2325356,0,617,617,107.614116032733,12913.4015210982,0,28.6494758930095
"pacient_8",0,278813,692.913012441362,94,0,4820.8351777048,23240451.8105961,278813,0,379,379,31.9232325379966,1418.23740657502,0,6.95734542597114
