"","pacient_10","pacient_11","pacient_5","pacient_6","pacient_4","pacient_1","pacient_2","pacient_3","pacient_7","pacient_9","pacient_8"
"A3GALT2",0,0,7.48034373520989,0.763849958046375,2.24712254909695,0.0466516723854958,0,0,0,0,0
"A4GALT",0.0256501020238339,18.1179702389965,14.8992880427583,16.3907457873959,17.9488524757409,2.0394984888088,4.96222930517097,6.09052601938701,3.97520855881456,0.0513285392703003,11.0580022847874
"A4GNT",0,95.8017229957505,7.75982868962656,0,0,0.154111275470537,0,0,5.34676317254961,0,0
"AAAS",0,16.880726305999,2.62865547131119,20.9846455277334,28.4345435683942,16.3235295075421,19.0707038709985,26.7312219376192,17.1961675489454,0,13.6062867789986
"AACS",0.00480361125784285,0,4.71616443964197,5.38469060265528,2.2469005555729,1.79385948014025,2.64995489048195,3.0484518034038,0.439583179897353,0.442176333157803,6.4509629619266
"AADAC",0,21.1612298312268,0,0.199855735047933,6.99396687298358,0,0,0.0370200122427641,9.96184914237433,35.4793456735263,3.41950192632641
"AADACL2",0,15.7534068506783,1.40644111680525,0,0,0,0,0.136217931493859,0.563928868081695,11.8234025853367,0
"AADACL3",0,28.0275175050405,0,0,1.21760908785095,2.80129831915676,0,0,0,81.0368343836521,0
"AADACL4",0,0,4.09438933248431,0,0.0304521432523289,1.71580593924173,0.0983964951210347,0,0,0,0
"AADAT",0,26.8401242228496,4.02895950433175,1.46439389813055,1.91284968053592,0,0.251542979561171,0.915485838227594,1.36861888414391,15.867263893051,3.27430639446375
"AAGAB",0.0205873962023933,0.117155479568068,10.046365082307,15.4485976198897,10.7083413673511,7.71267610159174,18.3686183888524,13.6718738380609,10.7467482313923,0,16.3537864338773
"AAK1",0.00345914540540139,1.95986336423417,0.416967953900044,1.56861237964216,3.92856097366492,1.18979963634326,5.15493858586267,4.76537862630475,0.587148804851584,3.48874448262985,2.20435802547703
"AAMDC",5.08679332937464,0.147689358910506,1.02096911984936,1.54520561389777,1.2661142760757,0.693872862853811,0.923972692151664,1.22275818927608,2.70129941473109,0,0.749853007951625
"AAMP",0.185582664923806,39.0751194620337,142.326803871995,60.9617810963205,79.8621930244442,125.454514364991,78.3498074308406,93.1604415874182,42.9136577133176,146.319913880166,88.7902237889444
